protocol,src_port,dst_port,packet_length,ttl,timestamp,src_ip,dst_ip,tcp_flags,window_size,flow_duration,flow_bytes_per_sec,flow_packets_per_sec,hour,minute,second,day_of_week,binary_prediction,multiclass_label
6,443,57126,1,0,60,0,60,60,60,0,0,0,0,0,0,0,0,0,1,0,0,0,20,0,0,0,0,60,9,0,1,43,44,6,,Benign
6,443,57126,1,0,94,0,94,94,94,0,0,0,0,0,0,0,0,1,1,0,0,0,20,0,0,0,0,94,9,0,1,43,44,6,,Benign
6,55890,443,1,0,294,0,294,294,294,0,0,0,0,0,0,0,0,1,1,0,0,0,20,0,0,0,0,294,255,0,1,44,47,6,,Benign
6,443,55890,1,0,320,0,320,320,320,0,0,0,0,0,0,0,0,1,1,0,0,0,20,0,0,0,0,320,4561,0,1,44,47,6,,Benign
6,55890,443,1,0,54,0,54,54,54,0,0,0,0,0,0,0,0,0,1,0,0,0,20,0,0,0,0,54,254,0,1,44,47,6,,Benign
6,443,57513,1,0,139,0,139,139,139,0,0,0,0,0,0,0,0,1,1,0,0,0,20,0,0,0,0,139,1033,0,1,44,48,6,,Benign
6,443,57513,1,0,85,0,85,85,85,0,0,0,0,0,0,0,0,1,1,0,0,0,20,0,0,0,0,85,1033,0,1,44,48,6,,Benign
6,57513,443,1,0,54,0,54,54,54,0,0,0,0,0,0,0,0,0,1,0,0,0,20,0,0,0,0,54,253,0,1,44,48,6,,Benign
6,443,57513,1,0,93,0,93,93,93,0,0,0,0,0,0,0,0,1,1,0,0,0,20,0,0,0,0,93,1033,0,1,44,48,6,,Benign
6,57513,443,1,0,93,0,93,93,93,0,0,0,0,0,0,0,0,1,1,0,0,0,20,0,0,0,0,93,253,0,1,44,48,6,,Benign
6,55776,443,1,0,110,0,110,110,110,0,0,0,0,0,0,0,0,1,1,0,0,0,20,0,0,0,0,110,253,0,1,44,48,6,,Benign
6,55776,443,1,0,213,0,213,213,213,0,0,0,0,0,0,0,0,1,1,0,0,0,20,0,0,0,0,213,253,0,1,44,48,6,,Benign
6,57515,443,1,0,289,0,289,289,289,0,0,0,0,0,0,0,0,1,1,0,0,0,20,0,0,0,0,289,255,0,1,44,48,6,,Benign
6,443,55776,1,0,60,0,60,60,60,0,0,0,0,0,0,0,0,0,1,0,0,0,20,0,0,0,0,60,157,0,1,44,48,6,,Benign
6,443,55776,1,0,134,0,134,134,134,0,0,0,0,0,0,0,0,1,1,0,0,0,20,0,0,0,0,134,157,0,1,44,48,6,,Benign
6,443,55776,1,0,553,0,553,553,553,0,0,0,0,0,0,0,0,1,1,0,0,0,20,0,0,0,0,553,157,0,1,44,48,6,,Benign
6,55776,443,1,0,54,0,54,54,54,0,0,0,0,0,0,0,0,0,1,0,0,0,20,0,0,0,0,54,251,0,1,44,48,6,,Benign
6,443,57513,1,0,60,0,60,60,60,0,0,0,0,0,0,0,0,0,1,0,0,0,20,0,0,0,0,60,1033,0,1,44,48,6,,Benign
6,443,57515,1,0,60,0,60,60,60,0,0,0,0,0,0,0,0,0,1,0,0,0,20,0,0,0,0,60,1045,0,1,44,48,6,,Benign
6,443,57515,1,0,124,0,124,124,124,0,0,0,0,0,0,0,0,1,1,0,0,0,20,0,0,0,0,124,1045,0,1,44,48,6,,Benign
6,443,57515,1,0,85,0,85,85,85,0,0,0,0,0,0,0,0,1,1,0,0,0,20,0,0,0,0,85,1045,0,1,44,48,6,,Benign
6,443,57515,1,0,93,0,93,93,93,0,0,0,0,0,0,0,0,1,1,0,0,0,20,0,0,0,0,93,1045,0,1,44,48,6,,Benign
6,57515,443,1,0,54,0,54,54,54,0,0,0,0,0,0,0,0,0,1,0,0,0,20,0,0,0,0,54,254,0,1,44,48,6,,Benign
6,57515,443,1,0,93,0,93,93,93,0,0,0,0,0,0,0,0,1,1,0,0,0,20,0,0,0,0,93,254,0,1,44,48,6,,Benign
6,57513,443,1,0,2198,0,2198,2198,2198,0,0,0,0,0,0,0,0,1,1,0,0,0,20,0,0,0,0,2198,253,0,1,44,48,6,,Benign
6,443,57515,1,0,60,0,60,60,60,0,0,0,0,0,0,0,0,0,1,0,0,0,20,0,0,0,0,60,1045,0,1,44,48,6,,Benign
6,443,57513,1,0,66,0,66,66,66,0,0,0,0,0,0,0,0,0,1,0,0,0,20,0,0,0,0,66,1033,0,1,44,48,6,,Benign
6,443,57513,1,0,60,0,60,60,60,0,0,0,0,0,0,0,0,0,1,0,0,0,20,0,0,0,0,60,1025,0,1,44,48,6,,Benign
6,443,57513,1,0,122,0,122,122,122,0,0,0,0,0,0,0,0,1,1,0,0,0,20,0,0,0,0,122,1025,0,1,44,48,6,,Benign
6,443,57513,1,0,103,0,103,103,103,0,0,0,0,0,0,0,0,1,1,0,0,0,20,0,0,0,0,103,1025,0,1,44,48,6,,Benign
6,57513,443,1,0,54,0,54,54,54,0,0,0,0,0,0,0,0,0,1,0,0,0,20,0,0,0,0,54,252,0,1,44,48,6,,Benign
6,57514,443,1,0,93,0,93,93,93,0,0,0,0,0,0,0,0,1,1,0,0,0,20,0,0,0,0,93,250,0,1,51,10,6,,Benign
6,443,57514,1,0,60,0,60,60,60,0,0,0,0,0,0,0,0,0,1,0,0,0,20,0,0,0,0,60,1046,0,1,51,10,6,,Benign
6,443,57514,1,0,93,0,93,93,93,0,0,0,0,0,0,0,0,1,1,0,0,0,20,0,0,0,0,93,1046,0,1,51,10,6,,Benign
6,57514,443,1,0,54,0,54,54,54,0,0,0,0,0,0,0,0,0,1,0,0,0,20,0,0,0,0,54,255,0,1,51,10,6,,Benign
6,443,57126,1,0,166,0,166,166,166,0,0,0,0,0,0,0,0,1,1,0,0,0,20,0,0,0,0,166,9,0,1,51,12,6,,Benign
6,57126,443,1,0,54,0,54,54,54,0,0,0,0,0,0,0,0,0,1,0,0,0,20,0,0,0,0,54,2047,0,1,51,12,6,,Benign
6,443,57126,1,0,98,0,98,98,98,0,0,0,0,0,0,0,0,1,1,0,0,0,20,0,0,0,0,98,9,0,1,51,13,6,,Benign
6,57126,443,1,0,54,0,54,54,54,0,0,0,0,0,0,0,0,0,1,0,0,0,20,0,0,0,0,54,2047,0,1,51,13,6,,Benign
6,443,57126,1,0,507,0,507,507,507,0,0,0,0,0,0,0,0,1,1,0,0,0,20,0,0,0,0,507,9,0,1,51,13,6,,Benign
6,57126,443,1,0,54,0,54,54,54,0,0,0,0,0,0,0,0,0,1,0,0,0,20,0,0,0,0,54,2045,0,1,51,13,6,,Benign
6,57506,443,1,0,55,0,55,55,55,0,0,0,0,0,0,0,0,0,1,0,0,0,20,0,0,0,0,55,251,0,1,54,14,6,False,Benign
6,443,57513,1,0,139,0,139,139,139,0,0,0,0,0,0,0,0,1,1,0,0,0,20,0,0,0,0,139,990,0,1,54,14,6,False,Benign
6,57513,443,1,0,54,0,54,54,54,0,0,0,0,0,0,0,0,0,1,0,0,0,20,0,0,0,0,54,255,0,1,54,14,6,False,Benign
6,57506,443,1,0,55,0,55,55,55,0,0,0,0,0,0,0,0,0,1,0,0,0,20,0,0,0,0,55,251,0,1,54,15,6,False,Benign
6,57503,443,1,0,176,0,176,176,176,0,0,0,0,0,0,0,0,1,1,0,0,0,20,0,0,0,0,176,255,0,1,54,16,6,False,Benign
6,443,57503,1,0,60,0,60,60,60,0,0,0,0,0,0,0,0,0,1,0,0,0,20,0,0,0,0,60,133,0,1,54,16,6,False,Benign
6,57506,443,1,0,55,0,55,55,55,0,0,0,0,0,0,0,0,0,1,0,0,0,20,0,0,0,0,55,251,0,1,54,16,6,False,Benign
6,443,57503,1,0,636,0,636,636,636,0,0,0,0,0,0,0,0,1,1,0,0,0,20,0,0,0,0,636,133,0,1,54,16,6,False,Benign
6,57503,443,1,0,105,0,105,105,105,0,0,0,0,0,0,0,0,1,1,0,0,0,20,0,0,0,0,105,253,0,1,54,16,6,False,Benign
6,443,57503,1,0,85,0,85,85,85,0,0,0,0,0,0,0,0,1,1,0,0,0,20,0,0,0,0,85,133,0,1,54,16,6,False,Benign
6,443,57503,1,0,60,0,60,60,60,0,0,0,0,0,0,0,0,0,1,0,0,0,20,0,0,0,0,60,133,0,1,54,16,6,False,Benign
6,57503,443,1,0,105,0,105,105,105,0,0,0,0,0,0,0,0,1,1,0,0,0,20,0,0,0,0,105,253,0,1,54,16,6,False,Benign
6,443,57503,1,0,60,0,60,60,60,0,0,0,0,0,0,0,0,0,1,0,0,0,20,0,0,0,0,60,133,0,1,54,16,6,False,Benign
6,57506,443,1,0,55,0,55,55,55,0,0,0,0,0,0,0,0,0,1,0,0,0,20,0,0,0,0,55,251,0,1,54,17,6,False,Benign
6,443,57126,1,0,100,0,100,100,100,0,0,0,0,0,0,0,0,1,1,0,0,0,20,0,0,0,0,100,9,0,1,56,33,6,False,Benign
6,57126,443,1,0,54,0,54,54,54,0,0,0,0,0,0,0,0,0,1,0,0,0,20,0,0,0,0,54,2047,0,1,56,33,6,False,Benign
6,57515,443,1,0,93,0,93,93,93,0,0,0,0,0,0,0,0,1,1,0,0,0,20,0,0,0,0,93,250,0,1,56,35,6,False,Benign
6,443,57515,1,0,60,0,60,60,60,0,0,0,0,0,0,0,0,0,1,0,0,0,20,0,0,0,0,60,1045,0,1,56,35,6,False,Benign
6,443,57515,1,0,93,0,93,93,93,0,0,0,0,0,0,0,0,1,1,0,0,0,20,0,0,0,0,93,1045,0,1,56,35,6,False,Benign
6,57515,443,1,0,54,0,54,54,54,0,0,0,0,0,0,0,0,0,1,0,0,0,20,0,0,0,0,54,255,0,1,56,35,6,False,Benign
6,443,57126,1,0,114,0,114,114,114,0,0,0,0,0,0,0,0,1,1,0,0,0,20,0,0,0,0,114,9,0,1,56,35,6,False,Benign
6,57126,443,1,0,54,0,54,54,54,0,0,0,0,0,0,0,0,0,1,0,0,0,20,0,0,0,0,54,2047,0,1,56,35,6,False,Benign
6,55776,443,1,0,93,0,93,93,93,0,0,0,0,0,0,0,0,1,1,0,0,0,20,0,0,0,0,93,253,0,1,56,36,6,False,Benign
6,57550,443,1,0,93,0,93,93,93,0,0,0,0,0,0,0,0,1,1,0,0,0,20,0,0,0,0,93,255,0,1,56,36,6,False,Benign
6,443,55776,1,0,93,0,93,93,93,0,0,0,0,0,0,0,0,1,1,0,0,0,20,0,0,0,0,93,157,0,1,56,36,6,False,Benign
6,443,57550,1,0,60,0,60,60,60,0,0,0,0,0,0,0,0,0,1,0,0,0,20,0,0,0,0,60,1035,0,1,56,36,6,False,Benign
6,443,57550,1,0,93,0,93,93,93,0,0,0,0,0,0,0,0,1,1,0,0,0,20,0,0,0,0,93,1035,0,1,56,36,6,False,Benign
6,55776,443,1,0,54,0,54,54,54,0,0,0,0,0,0,0,0,0,1,0,0,0,20,0,0,0,0,54,253,0,1,56,36,6,False,Benign
6,57550,443,1,0,54,0,54,54,54,0,0,0,0,0,0,0,0,0,1,0,0,0,20,0,0,0,0,54,255,0,1,56,36,6,False,Benign
6,57503,443,1,0,176,0,176,176,176,0,0,0,0,0,0,0,0,1,1,0,0,0,20,0,0,0,0,176,251,0,1,56,36,6,False,Benign
